Класс;Код Клиента;Квартал
непостоянные приверженцы;10190407461;01.07.2016
активные приверженцы;10190407461;01.10.2016
активные приверженцы;10190407461;01.01.2017
частичные приверженцы;10190407461;01.04.2017
без предпочтений;10190407461;01.07.2017
непостоянные приверженцы;10190407461;01.10.2017
непостоянные приверженцы;10191049784;01.01.2016
непостоянные приверженцы;10191049784;01.04.2016
активные приверженцы;10191049784;01.07.2016
активные приверженцы;10191049784;01.10.2016
непостоянные приверженцы;10191049784;01.01.2017
частичные приверженцы;10191049784;01.04.2017
активные приверженцы;10191049784;01.07.2017
активные приверженцы;10191049784;01.10.2017
непостоянные приверженцы;10197282179;01.01.2016
активные приверженцы;10197282179;01.04.2016
активные приверженцы;10197282179;01.07.2016
активные приверженцы;10197282179;01.10.2016
непостоянные приверженцы;10197282179;01.01.2017
активные приверженцы;10197282179;01.04.2017
активные приверженцы;10197282179;01.07.2017
активные приверженцы;10197282179;01.10.2017
непостоянные приверженцы;10198192908;01.01.2016
активные приверженцы;10198192908;01.04.2016
активные приверженцы;10198192908;01.07.2016
активные приверженцы;10198192908;01.10.2016
активные приверженцы;10198192908;01.01.2017
без предпочтений;10198192908;01.04.2017
активные приверженцы;10198192908;01.07.2017
активные приверженцы;10198192908;01.10.2017
активные приверженцы;10205688548;01.01.2016
активные приверженцы;10205688548;01.04.2016
непостоянные приверженцы;10205688548;01.07.2016
непостоянные приверженцы;10205688548;01.10.2016
активные приверженцы;10205688548;01.01.2017
непостоянные приверженцы;10205688548;01.04.2017
активные приверженцы;10205688548;01.07.2017
без предпочтений;10205688548;01.10.2017
активные приверженцы;10205772877;01.01.2016
активные приверженцы;10205772877;01.04.2016
непостоянные приверженцы;10205772877;01.07.2016
активные приверженцы;10205772877;01.10.2016
частичные приверженцы;10205772877;01.01.2017
активные приверженцы;10205772877;01.04.2017
непостоянные приверженцы;10205772877;01.07.2017
активные приверженцы;10205772877;01.10.2017
непостоянные приверженцы;10205830967;01.01.2016
непостоянные приверженцы;10205830967;01.04.2016
непостоянные приверженцы;10205830967;01.07.2016
без предпочтений;10205830967;01.10.2016
непостоянные приверженцы;10205830967;01.01.2017
активные приверженцы;10205830967;01.04.2017
активные приверженцы;10205830967;01.07.2017
активные приверженцы;10205830967;01.10.2017
частичные приверженцы;10206228721;01.01.2016
активные приверженцы;10206228721;01.04.2016
активные приверженцы;10206228721;01.07.2016
активные приверженцы;10206228721;01.10.2016
непостоянные приверженцы;10206228721;01.01.2017
активные приверженцы;10206228721;01.04.2017
частичные приверженцы;10206228721;01.07.2017
активные приверженцы;10206228721;01.10.2017
непостоянные приверженцы;10211527269;01.01.2016
активные приверженцы;10211527269;01.04.2016
активные приверженцы;10211527269;01.07.2016
непостоянные приверженцы;10211527269;01.10.2016
частичные приверженцы;10211527269;01.01.2017
частичные приверженцы;10211527269;01.04.2017
активные приверженцы;10211527269;01.07.2017
непостоянные приверженцы;10211527269;01.10.2017
непостоянные приверженцы;10211698576;01.01.2016
активные приверженцы;10211698576;01.04.2016
непостоянные приверженцы;10211698576;01.07.2016
непостоянные приверженцы;10211698576;01.10.2016
непостоянные приверженцы;10211698576;01.01.2017
без предпочтений;10211698576;01.04.2017
активные приверженцы;10211698576;01.07.2017
непостоянные приверженцы;10211698576;01.10.2017
без предпочтений;10211720812;01.01.2016
непостоянные приверженцы;10211720812;01.04.2016
без предпочтений;10211720812;01.07.2016
активные приверженцы;10211720812;01.10.2016
активные приверженцы;10211720812;01.01.2017
непостоянные приверженцы;10211720812;01.04.2017
активные приверженцы;10211720812;01.07.2017
без предпочтений;10211720812;01.10.2017
непостоянные приверженцы;10211754011;01.01.2016
непостоянные приверженцы;10211754011;01.04.2016
непостоянные приверженцы;10211754011;01.07.2016
без предпочтений;10211754011;01.10.2016
активные приверженцы;10211754011;01.01.2017
без предпочтений;10211754011;01.04.2017
непостоянные приверженцы;10211754011;01.07.2017
активные приверженцы;10211754011;01.10.2017
активные приверженцы;10215226846;01.01.2016
частичные приверженцы;10215226846;01.04.2016
активные приверженцы;10215226846;01.07.2016
активные приверженцы;10215226846;01.10.2016
активные приверженцы;10215226846;01.01.2017
непостоянные приверженцы;10215226846;01.04.2017
активные приверженцы;10215226846;01.07.2017
непостоянные приверженцы;10215226846;01.10.2017
активные приверженцы;1022217404;01.01.2016
непостоянные приверженцы;1022217404;01.04.2016
без предпочтений;1022217404;01.07.2016
непостоянные приверженцы;1022217404;01.10.2016
частичные приверженцы;1022217404;01.01.2017
активные приверженцы;1022217404;01.04.2017
активные приверженцы;1022217404;01.07.2017
непостоянные приверженцы;1022217404;01.10.2017
непостоянные приверженцы;1022239981;01.01.2016
непостоянные приверженцы;1022239981;01.04.2016
непостоянные приверженцы;1022239981;01.07.2016
частичные приверженцы;1022239981;01.10.2016
активные приверженцы;1022239981;01.01.2017
непостоянные приверженцы;1022239981;01.04.2017
активные приверженцы;1022239981;01.07.2017
активные приверженцы;1022239981;01.10.2017
непостоянные приверженцы;1022252585;01.01.2016
активные приверженцы;1022252585;01.04.2016
непостоянные приверженцы;1022252585;01.07.2016
частичные приверженцы;1022252585;01.10.2016
активные приверженцы;1022252585;01.01.2017
